Code,Area,Year,Affordable Housing Supply
E09000010,Enfield,2004-05,480
E09000011,Greenwich,2004-05,452
E09000012,Hackney,2004-05,431
E09000013,Hammersmith and Fulham,2004-05,263
E09000014,Haringey,2004-05,411
E09000015,Harrow,2004-05,148
E09000016,Havering,2004-05,166
E09000017,Hillingdon,2004-05,200
E09000018,Hounslow,2004-05,171
E09000019,Islington,2004-05,197
E09000020,Kensington and Chelsea,2004-05,28
E09000021,Kingston upon Thames,2004-05,219
E09000022,Lambeth,2004-05,323
E09000023,Lewisham,2004-05,592
E09000024,Merton,2004-05,173
E09000025,Newham,2004-05,438
E09000026,Redbridge,2004-05,268
E09000027,Richmond upon Thames,2004-05,227
E09000028,Southwark,2004-05,635
E09000029,Sutton,2004-05,421
E09000030,Tower Hamlets,2004-05,405
E09000031,Waltham Forest,2004-05,258
E09000032,Wandsworth,2004-05,394
E09000033,Westminster,2004-05,251
E12000007,London,2004-05,"9,845"
E92000001,England,2004-05,"37,470"
E09000001,City of London,2005-06,10
E09000002,Barking and Dagenham,2005-06,331
E09000003,Barnet,2005-06,407
E09000004,Bexley,2005-06,168
E09000005,Brent,2005-06,259
E09000006,Bromley,2005-06,372
E09000007,Camden,2005-06,215
E09000008,Croydon,2005-06,491
E09000009,Ealing,2005-06,388
E09000010,Enfield,2005-06,470
E09000011,Greenwich,2005-06,356
E09000012,Hackney,2005-06,345
E09000013,Hammersmith and Fulham,2005-06,131
E09000014,Haringey,2005-06,555
E09000015,Harrow,2005-06,204
E09000016,Havering,2005-06,178
E09000017,Hillingdon,2005-06,198
E09000018,Hounslow,2005-06,315
E09000019,Islington,2005-06,641
E09000020,Kensington and Chelsea,2005-06,92
E09000021,Kingston upon Thames,2005-06,99
E09000022,Lambeth,2005-06,561
E09000023,Lewisham,2005-06,584
E09000024,Merton,2005-06,197
E09000025,Newham,2005-06,416
E09000026,Redbridge,2005-06,257
E09000027,Richmond upon Thames,2005-06,156
E09000028,Southwark,2005-06,488
E09000029,Sutton,2005-06,512
E09000030,Tower Hamlets,2005-06,"1,160"
E09000031,Waltham Forest,2005-06,348
E09000032,Wandsworth,2005-06,212
E09000033,Westminster,2005-06,391
E12000007,London,2005-06,"11,504"
E92000001,England,2005-06,"45,983"
E09000001,City of London,2006-07,0
E09000002,Barking and Dagenham,2006-07,303
E09000003,Barnet,2006-07,71
E09000004,Bexley,2006-07,158
E09000005,Brent,2006-07,522
E09000006,Bromley,2006-07,280
E09000007,Camden,2006-07,252
E09000008,Croydon,2006-07,536
E09000009,Ealing,2006-07,677
E09000010,Enfield,2006-07,486
E09000011,Greenwich,2006-07,649
E09000012,Hackney,2006-07,658
E09000013,Hammersmith and Fulham,2006-07,647
E09000014,Haringey,2006-07,282
E09000015,Harrow,2006-07,158
E09000016,Havering,2006-07,163
E09000017,Hillingdon,2006-07,152
E09000018,Hounslow,2006-07,455
E09000019,Islington,2006-07,826
E09000020,Kensington and Chelsea,2006-07,86
E09000021,Kingston upon Thames,2006-07,97
E09000022,Lambeth,2006-07,374
E09000023,Lewisham,2006-07,343
E09000024,Merton,2006-07,181
E09000025,Newham,2006-07,923
E09000026,Redbridge,2006-07,795
E09000027,Richmond upon Thames,2006-07,69
E09000028,Southwark,2006-07,899
E09000029,Sutton,2006-07,217
E09000030,Tower Hamlets,2006-07,"1,151"
E09000031,Waltham Forest,2006-07,308
E09000032,Wandsworth,2006-07,352
E09000033,Westminster,2006-07,105
E12000007,London,2006-07,"13,179"
E92000001,England,2006-07,"44,299"
E09000001,City of London,2007-08,0
E09000002,Barking and Dagenham,2007-08,420
E09000003,Barnet,2007-08,347
E09000004,Bexley,2007-08,391
E09000005,Brent,2007-08,295
E09000006,Bromley,2007-08,350
E09000007,Camden,2007-08,288
E09000008,Croydon,2007-08,702
E09000009,Ealing,2007-08,371
E09000010,Enfield,2007-08,583
E09000011,Greenwich,2007-08,643
E09000012,Hackney,2007-08,"1,016"
E09000013,Hammersmith and Fulham,2007-08,515
E09000014,Haringey,2007-08,378
E09000015,Harrow,2007-08,225
E09000016,Havering,2007-08,348
E09000017,Hillingdon,2007-08,348
E09000018,Hounslow,2007-08,928
E09000019,Islington,2007-08,527
E09000020,Kensington and Chelsea,2007-08,50
E09000021,Kingston upon Thames,2007-08,112
E09000022,Lambeth,2007-08,499
E09000023,Lewisham,2007-08,648
E09000024,Merton,2007-08,327
E09000025,Newham,2007-08,"1,180"
E09000026,Redbridge,2007-08,120
E09000027,Richmond upon Thames,2007-08,163
E09000028,Southwark,2007-08,897
E09000029,Sutton,2007-08,321
E09000030,Tower Hamlets,2007-08,"1,384"
E09000031,Waltham Forest,2007-08,198
